,experiment,id_code,plate,sirna,well,well_type
43,HEPG2-01,HEPG2-01_1_D08,1,124,D08,
44,HEPG2-01,HEPG2-01_1_D09,1,203,D09,
45,HEPG2-01,HEPG2-01_1_D10,1,708,D10,
46,HEPG2-01,HEPG2-01_1_D11,1,415,D11,
47,HEPG2-01,HEPG2-01_1_D12,1,653,D12,
48,HEPG2-01,HEPG2-01_1_D13,1,1056,D13,
49,HEPG2-01,HEPG2-01_1_D14,1,456,D14,
50,HEPG2-01,HEPG2-01_1_D15,1,217,D15,
51,HEPG2-01,HEPG2-01_1_D16,1,681,D16,
52,HEPG2-01,HEPG2-01_1_D17,1,113,D17,
53,HEPG2-01,HEPG2-01_1_D18,1,791,D18,
54,HEPG2-01,HEPG2-01_1_D19,1,538,D19,
55,HEPG2-01,HEPG2-01_1_D20,1,290,D20,
56,HEPG2-01,HEPG2-01_1_D21,1,576,D21,
57,HEPG2-01,HEPG2-01_1_D22,1,1031,D22,
58,HEPG2-01,HEPG2-01_1_D23,1,883,D23,
59,HEPG2-01,HEPG2-01_1_E02,1,400,E02,
60,HEPG2-01,HEPG2-01_1_E03,1,984,E03,
61,HEPG2-01,HEPG2-01_1_E04,1,80,E04,
62,HEPG2-01,HEPG2-01_1_E05,1,371,E05,
63,HEPG2-01,HEPG2-01_1_E06,1,987,E06,
64,HEPG2-01,HEPG2-01_1_E07,1,211,E07,
65,HEPG2-01,HEPG2-01_1_E08,1,157,E08,
66,HEPG2-01,HEPG2-01_1_E09,1,921,E09,
67,HEPG2-01,HEPG2-01_1_E10,1,478,E10,
68,HEPG2-01,HEPG2-01_1_E11,1,577,E11,
69,HEPG2-01,HEPG2-01_1_E12,1,345,E12,
70,HEPG2-01,HEPG2-01_1_E13,1,784,E13,
71,HEPG2-01,HEPG2-01_1_E14,1,894,E14,
72,HEPG2-01,HEPG2-01_1_E15,1,385,E15,
73,HEPG2-01,HEPG2-01_1_E16,1,1028,E16,
74,HEPG2-01,HEPG2-01_1_E17,1,8,E17,
75,HEPG2-01,HEPG2-01_1_E18,1,552,E18,
76,HEPG2-01,HEPG2-01_1_E19,1,695,E19,
77,HEPG2-01,HEPG2-01_1_E20,1,459,E20,
78,HEPG2-01,HEPG2-01_1_E21,1,581,E21,
79,HEPG2-01,HEPG2-01_1_E22,1,1060,E22,
80,HEPG2-01,HEPG2-01_1_E23,1,355,E23,
81,HEPG2-01,HEPG2-01_1_F02,1,900,F02,
82,HEPG2-01,HEPG2-01_1_F04,1,340,F04,
83,HEPG2-01,HEPG2-01_1_F05,1,486,F05,
84,HEPG2-01,HEPG2-01_1_F06,1,907,F06,
85,HEPG2-01,HEPG2-01_1_F08,1,391,F08,
86,HEPG2-01,HEPG2-01_1_F09,1,838,F09,
87,HEPG2-01,HEPG2-01_1_F10,1,523,F10,
88,HEPG2-01,HEPG2-01_1_F12,1,1084,F12,
89,HEPG2-01,HEPG2-01_1_F13,1,1089,F13,
90,HEPG2-01,HEPG2-01_1_F14,1,670,F14,
91,HEPG2-01,HEPG2-01_1_F16,1,450,F16,
92,HEPG2-01,HEPG2-01_1_F17,1,389,F17,
93,HEPG2-01,HEPG2-01_1_F18,1,379,F18,
94,HEPG2-01,HEPG2-01_1_F20,1,239,F20,
95,HEPG2-01,HEPG2-01_1_F21,1,604,F21,
96,HEPG2-01,HEPG2-01_1_F23,1,155,F23,
97,HEPG2-01,HEPG2-01_1_G02,1,5,G02,
98,HEPG2-01,HEPG2-01_1_G03,1,48,G03,
99,HEPG2-01,HEPG2-01_1_G04,1,1062,G04,
100,HEPG2-01,HEPG2-01_1_G05,1,884,G05,
101,HEPG2-01,HEPG2-01_1_G06,1,825,G06,
102,HEPG2-01,HEPG2-01_1_G07,1,798,G07,
103,HEPG2-01,HEPG2-01_1_G08,1,914,G08,
104,HEPG2-01,HEPG2-01_1_G09,1,1025,G09,
105,HEPG2-01,HEPG2-01_1_G10,1,624,G10,
106,HEPG2-01,HEPG2-01_1_G11,1,939,G11,
107,HEPG2-01,HEPG2-01_1_G12,1,938,G12,
108,HEPG2-01,HEPG2-01_1_G13,1,88,G13,
109,HEPG2-01,HEPG2-01_1_G14,1,1096,G14,
110,HEPG2-01,HEPG2-01_1_G15,1,46,G15,
111,HEPG2-01,HEPG2-01_1_G16,1,417,G16,
112,HEPG2-01,HEPG2-01_1_G17,1,910,G17,
113,HEPG2-01,HEPG2-01_1_G18,1,268,G18,
114,HEPG2-01,HEPG2-01_1_G19,1,744,G19,
115,HEPG2-01,HEPG2-01_1_G20,1,1006,G20,
116,HEPG2-01,HEPG2-01_1_G21,1,606,G21,
117,HEPG2-01,HEPG2-01_1_G22,1,172,G22,
118,HEPG2-01,HEPG2-01_1_G23,1,506,G23,
119,HEPG2-01,HEPG2-01_1_H02,1,760,H02,
120,HEPG2-01,HEPG2-01_1_H04,1,1013,H04,
121,HEPG2-01,HEPG2-01_1_H05,1,77,H05,
122,HEPG2-01,HEPG2-01_1_H06,1,1101,H06,
123,HEPG2-01,HEPG2-01_1_H08,1,56,H08,
124,HEPG2-01,HEPG2-01_1_H09,1,699,H09,
125,HEPG2-01,HEPG2-01_1_H10,1,1065,H10,
126,HEPG2-01,HEPG2-01_1_H12,1,847,H12,
127,HEPG2-01,HEPG2-01_1_H13,1,348,H13,
128,HEPG2-01,HEPG2-01_1_H14,1,1008,H14,
129,HEPG2-01,HEPG2-01_1_H16,1,845,H16,
130,HEPG2-01,HEPG2-01_1_H17,1,102,H17,
131,HEPG2-01,HEPG2-01_1_H18,1,3,H18,
132,HEPG2-01,HEPG2-01_1_H20,1,543,H20,
133,HEPG2-01,HEPG2-01_1_H21,1,734,H21,
134,HEPG2-01,HEPG2-01_1_H23,1,897,H23,
135,HEPG2-01,HEPG2-01_1_I02,1,626,I02,
136,HEPG2-01,HEPG2-01_1_I03,1,192,I03,
137,HEPG2-01,HEPG2-01_1_I04,1,112,I04,
138,HEPG2-01,HEPG2-01_1_I05,1,489,I05,
139,HEPG2-01,HEPG2-01_1_I06,1,1027,I06,
140,HEPG2-01,HEPG2-01_1_I07,1,195,I07,
141,HEPG2-01,HEPG2-01_1_I08,1,868,I08,
142,HEPG2-01,HEPG2-01_1_I09,1,59,I09,
143,HEPG2-01,HEPG2-01_1_I10,1,689,I10,
144,HEPG2-01,HEPG2-01_1_I11,1,126,I11,
145,HEPG2-01,HEPG2-01_1_I12,1,26,I12,
146,HEPG2-01,HEPG2-01_1_I13,1,1039,I13,
147,HEPG2-01,HEPG2-01_1_I14,1,295,I14,
148,HEPG2-01,HEPG2-01_1_I15,1,258,I15,
149,HEPG2-01,HEPG2-01_1_I16,1,301,I16,
150,HEPG2-01,HEPG2-01_1_I17,1,891,I17,
151,HEPG2-01,HEPG2-01_1_I18,1,372,I18,
152,HEPG2-01,HEPG2-01_1_I19,1,566,I19,
153,HEPG2-01,HEPG2-01_1_I20,1,764,I20,
154,HEPG2-01,HEPG2-01_1_I21,1,133,I21,
155,HEPG2-01,HEPG2-01_1_I22,1,890,I22,
156,HEPG2-01,HEPG2-01_1_I23,1,806,I23,
157,HEPG2-01,HEPG2-01_1_J02,1,309,J02,
158,HEPG2-01,HEPG2-01_1_J04,1,811,J04,
159,HEPG2-01,HEPG2-01_1_J05,1,1106,J05,
160,HEPG2-01,HEPG2-01_1_J06,1,105,J06,
161,HEPG2-01,HEPG2-01_1_J08,1,810,J08,
162,HEPG2-01,HEPG2-01_1_J09,1,532,J09,
163,HEPG2-01,HEPG2-01_1_J10,1,1076,J10,
164,HEPG2-01,HEPG2-01_1_J12,1,676,J12,
165,HEPG2-01,HEPG2-01_1_J13,1,889,J13,
166,HEPG2-01,HEPG2-01_1_J14,1,388,J14,
167,HEPG2-01,HEPG2-01_1_J16,1,94,J16,
168,HEPG2-01,HEPG2-01_1_J17,1,287,J17,
169,HEPG2-01,HEPG2-01_1_J18,1,605,J18,
170,HEPG2-01,HEPG2-01_1_J20,1,411,J20,
171,HEPG2-01,HEPG2-01_1_J21,1,431,J21,
172,HEPG2-01,HEPG2-01_1_J23,1,565,J23,
173,HEPG2-01,HEPG2-01_1_K02,1,881,K02,
174,HEPG2-01,HEPG2-01_1_K03,1,256,K03,
175,HEPG2-01,HEPG2-01_1_K04,1,281,K04,
176,HEPG2-01,HEPG2-01_1_K05,1,181,K05,
177,HEPG2-01,HEPG2-01_1_K06,1,582,K06,
178,HEPG2-01,HEPG2-01_1_K07,1,559,K07,
179,HEPG2-01,HEPG2-01_1_K08,1,853,K08,
180,HEPG2-01,HEPG2-01_1_K09,1,797,K09,
181,HEPG2-01,HEPG2-01_1_K10,1,1041,K10,
182,HEPG2-01,HEPG2-01_1_K11,1,224,K11,
183,HEPG2-01,HEPG2-01_1_K12,1,765,K12,
184,HEPG2-01,HEPG2-01_1_K13,1,481,K13,
185,HEPG2-01,HEPG2-01_1_K14,1,89,K14,
186,HEPG2-01,HEPG2-01_1_K15,1,366,K15,
187,HEPG2-01,HEPG2-01_1_K16,1,945,K16,
188,HEPG2-01,HEPG2-01_1_K17,1,242,K17,
189,HEPG2-01,HEPG2-01_1_K18,1,692,K18,
190,HEPG2-01,HEPG2-01_1_K19,1,399,K19,
191,HEPG2-01,HEPG2-01_1_K20,1,660,K20,
192,HEPG2-01,HEPG2-01_1_K21,1,541,K21,
193,HEPG2-01,HEPG2-01_1_K22,1,320,K22,
194,HEPG2-01,HEPG2-01_1_K23,1,398,K23,
195,HEPG2-01,HEPG2-01_1_L02,1,673,L02,
196,HEPG2-01,HEPG2-01_1_L03,1,508,L03,
197,HEPG2-01,HEPG2-01_1_L04,1,877,L04,
198,HEPG2-01,HEPG2-01_1_L05,1,222,L05,
199,HEPG2-01,HEPG2-01_1_L06,1,1067,L06,
200,HEPG2-01,HEPG2-01_1_L07,1,392,L07,
201,HEPG2-01,HEPG2-01_1_L08,1,312,L08,
202,HEPG2-01,HEPG2-01_1_L09,1,442,L09,
203,HEPG2-01,HEPG2-01_1_L10,1,556,L10,
204,HEPG2-01,HEPG2-01_1_L11,1,959,L11,
205,HEPG2-01,HEPG2-01_1_L12,1,775,L12,
206,HEPG2-01,HEPG2-01_1_L13,1,786,L13,
207,HEPG2-01,HEPG2-01_1_L14,1,274,L14,
208,HEPG2-01,HEPG2-01_1_L15,1,598,L15,
209,HEPG2-01,HEPG2-01_1_L16,1,1104,L16,
210,HEPG2-01,HEPG2-01_1_L17,1,557,L17,
211,HEPG2-01,HEPG2-01_1_L18,1,742,L18,
212,HEPG2-01,HEPG2-01_1_L19,1,703,L19,
213,HEPG2-01,HEPG2-01_1_L20,1,1015,L20,
214,HEPG2-01,HEPG2-01_1_L21,1,360,L21,
215,HEPG2-01,HEPG2-01_1_L22,1,40,L22,
216,HEPG2-01,HEPG2-01_1_L23,1,339,L23,
217,HEPG2-01,HEPG2-01_1_M02,1,238,M02,
218,HEPG2-01,HEPG2-01_1_M04,1,687,M04,
219,HEPG2-01,HEPG2-01_1_M05,1,1102,M05,
220,HEPG2-01,HEPG2-01_1_M06,1,346,M06,
221,HEPG2-01,HEPG2-01_1_M08,1,147,M08,
222,HEPG2-01,HEPG2-01_1_M09,1,613,M09,
223,HEPG2-01,HEPG2-01_1_M10,1,277,M10,
224,HEPG2-01,HEPG2-01_1_M12,1,704,M12,
225,HEPG2-01,HEPG2-01_1_M13,1,497,M13,
226,HEPG2-01,HEPG2-01_1_M14,1,1,M14,
227,HEPG2-01,HEPG2-01_1_M16,1,33,M16,
228,HEPG2-01,HEPG2-01_1_M17,1,352,M17,
229,HEPG2-01,HEPG2-01_1_M18,1,972,M18,
230,HEPG2-01,HEPG2-01_1_M20,1,647,M20,
231,HEPG2-01,HEPG2-01_1_M21,1,715,M21,
232,HEPG2-01,HEPG2-01_1_M23,1,974,M23,
233,HEPG2-01,HEPG2-01_1_N02,1,221,N02,
234,HEPG2-01,HEPG2-01_1_N03,1,482,N03,
235,HEPG2-01,HEPG2-01_1_N04,1,793,N04,
236,HEPG2-01,HEPG2-01_1_N05,1,705,N05,
237,HEPG2-01,HEPG2-01_1_N06,1,572,N06,
238,HEPG2-01,HEPG2-01_1_N07,1,296,N07,
239,HEPG2-01,HEPG2-01_1_N08,1,109,N08,
240,HEPG2-01,HEPG2-01_1_N09,1,981,N09,
241,HEPG2-01,HEPG2-01_1_N10,1,500,N10,
242,HEPG2-01,HEPG2-01_1_N11,1,982,N11,
243,HEPG2-01,HEPG2-01_1_N12,1,962,N12,
244,HEPG2-01,HEPG2-01_1_N13,1,986,N13,
245,HEPG2-01,HEPG2-01_1_N14,1,471,N14,
246,HEPG2-01,HEPG2-01_1_N15,1,514,N15,
247,HEPG2-01,HEPG2-01_1_N16,1,439,N16,
248,HEPG2-01,HEPG2-01_1_N17,1,293,N17,
249,HEPG2-01,HEPG2-01_1_N18,1,158,N18,
250,HEPG2-01,HEPG2-01_1_N19,1,983,N19,
251,HEPG2-01,HEPG2-01_1_N20,1,831,N20,
252,HEPG2-01,HEPG2-01_1_N21,1,875,N21,
253,HEPG2-01,HEPG2-01_1_N22,1,302,N22,
254,HEPG2-01,HEPG2-01_1_N23,1,618,N23,
255,HEPG2-01,HEPG2-01_1_O02,1,620,O02,
256,HEPG2-01,HEPG2-01_1_O03,1,657,O03,
257,HEPG2-01,HEPG2-01_1_O04,1,505,O04,
258,HEPG2-01,HEPG2-01_1_O05,1,1066,O05,
259,HEPG2-01,HEPG2-01_1_O06,1,136,O06,
260,HEPG2-01,HEPG2-01_1_O07,1,395,O07,
261,HEPG2-01,HEPG2-01_1_O08,1,341,O08,
262,HEPG2-01,HEPG2-01_1_O09,1,313,O09,
263,HEPG2-01,HEPG2-01_1_O10,1,585,O10,
264,HEPG2-01,HEPG2-01_1_O11,1,588,O11,
265,HEPG2-01,HEPG2-01_1_O12,1,55,O12,
266,HEPG2-01,HEPG2-01_1_O13,1,361,O13,
267,HEPG2-01,HEPG2-01_1_O14,1,373,O14,
268,HEPG2-01,HEPG2-01_1_O15,1,445,O15,
269,HEPG2-01,HEPG2-01_1_O16,1,324,O16,
270,HEPG2-01,HEPG2-01_1_O17,1,308,O17,
271,HEPG2-01,HEPG2-01_1_O19,1,743,O19,
272,HEPG2-01,HEPG2-01_1_O20,1,622,O20,
273,HEPG2-01,HEPG2-01_1_O21,1,266,O21,
274,HEPG2-01,HEPG2-01_1_O22,1,770,O22,
275,HEPG2-01,HEPG2-01_1_O23,1,607,O23,
276,HEPG2-01,HEPG2-01_2_B03,2,95,B03,
277,HEPG2-01,HEPG2-01_2_B04,2,724,B04,
278,HEPG2-01,HEPG2-01_2_B05,2,739,B05,
279,HEPG2-01,HEPG2-01_2_B06,2,893,B06,
280,HEPG2-01,HEPG2-01_2_B07,2,536,B07,
281,HEPG2-01,HEPG2-01_2_B08,2,966,B08,
282,HEPG2-01,HEPG2-01_2_B09,2,194,B09,
283,HEPG2-01,HEPG2-01_2_B10,2,101,B10,
284,HEPG2-01,HEPG2-01_2_B11,2,996,B11,
285,HEPG2-01,HEPG2-01_2_B12,2,92,B12,
286,HEPG2-01,HEPG2-01_2_B13,2,2,B13,
287,HEPG2-01,HEPG2-01_2_B14,2,353,B14,
288,HEPG2-01,HEPG2-01_2_B15,2,752,B15,
289,HEPG2-01,HEPG2-01_2_B16,2,923,B16,
290,HEPG2-01,HEPG2-01_2_B17,2,517,B17,
291,HEPG2-01,HEPG2-01_2_B18,2,502,B18,
292,HEPG2-01,HEPG2-01_2_B19,2,41,B19,
293,HEPG2-01,HEPG2-01_2_B20,2,42,B20,
294,HEPG2-01,HEPG2-01_2_B21,2,957,B21,
295,HEPG2-01,HEPG2-01_2_B22,2,827,B22,
296,HEPG2-01,HEPG2-01_2_B23,2,717,B23,
297,HEPG2-01,HEPG2-01_2_C02,2,1080,C02,
298,HEPG2-01,HEPG2-01_2_C04,2,661,C04,
299,HEPG2-01,HEPG2-01_2_C05,2,22,C05,
300,HEPG2-01,HEPG2-01_2_C06,2,130,C06,
301,HEPG2-01,HEPG2-01_2_C08,2,327,C08,
302,HEPG2-01,HEPG2-01_2_C09,2,285,C09,
303,HEPG2-01,HEPG2-01_2_C10,2,333,C10,
304,HEPG2-01,HEPG2-01_2_C12,2,164,C12,
305,HEPG2-01,HEPG2-01_2_C13,2,917,C13,
306,HEPG2-01,HEPG2-01_2_C14,2,709,C14,
307,HEPG2-01,HEPG2-01_2_C16,2,146,C16,
308,HEPG2-01,HEPG2-01_2_C17,2,364,C17,
309,HEPG2-01,HEPG2-01_2_C18,2,232,C18,
310,HEPG2-01,HEPG2-01_2_C20,2,1019,C20,
311,HEPG2-01,HEPG2-01_2_C21,2,965,C21,
312,HEPG2-01,HEPG2-01_2_C23,2,887,C23,
313,HEPG2-01,HEPG2-01_2_D02,2,423,D02,
314,HEPG2-01,HEPG2-01_2_D03,2,349,D03,
315,HEPG2-01,HEPG2-01_2_D04,2,131,D04,
316,HEPG2-01,HEPG2-01_2_D05,2,941,D05,
317,HEPG2-01,HEPG2-01_2_D06,2,539,D06,
318,HEPG2-01,HEPG2-01_2_D07,2,87,D07,
319,HEPG2-01,HEPG2-01_2_D08,2,305,D08,
320,HEPG2-01,HEPG2-01_2_D09,2,303,D09,
321,HEPG2-01,HEPG2-01_2_D10,2,196,D10,
322,HEPG2-01,HEPG2-01_2_D11,2,228,D11,
323,HEPG2-01,HEPG2-01_2_D12,2,263,D12,
324,HEPG2-01,HEPG2-01_2_D13,2,336,D13,
325,HEPG2-01,HEPG2-01_2_D14,2,153,D14,
326,HEPG2-01,HEPG2-01_2_D15,2,108,D15,
327,HEPG2-01,HEPG2-01_2_D16,2,393,D16,
328,HEPG2-01,HEPG2-01_2_D17,2,1002,D17,
329,HEPG2-01,HEPG2-01_2_D18,2,761,D18,
330,HEPG2-01,HEPG2-01_2_D19,2,479,D19,
331,HEPG2-01,HEPG2-01_2_D20,2,722,D20,
332,HEPG2-01,HEPG2-01_2_D21,2,956,D21,
333,HEPG2-01,HEPG2-01_2_D22,2,408,D22,
334,HEPG2-01,HEPG2-01_2_D23,2,262,D23,
335,HEPG2-01,HEPG2-01_2_E02,2,138,E02,
336,HEPG2-01,HEPG2-01_2_E03,2,553,E03,
337,HEPG2-01,HEPG2-01_2_E04,2,683,E04,
338,HEPG2-01,HEPG2-01_2_E05,2,315,E05,
339,HEPG2-01,HEPG2-01_2_E06,2,1040,E06,
340,HEPG2-01,HEPG2-01_2_E07,2,747,E07,
341,HEPG2-01,HEPG2-01_2_E08,2,206,E08,
342,HEPG2-01,HEPG2-01_2_E09,2,787,E09,
343,HEPG2-01,HEPG2-01_2_E10,2,563,E10,
344,HEPG2-01,HEPG2-01_2_E11,2,63,E11,
345,HEPG2-01,HEPG2-01_2_E12,2,117,E12,
346,HEPG2-01,HEPG2-01_2_E13,2,409,E13,
347,HEPG2-01,HEPG2-01_2_E14,2,499,E14,
348,HEPG2-01,HEPG2-01_2_E15,2,25,E15,
349,HEPG2-01,HEPG2-01_2_E16,2,457,E16,
350,HEPG2-01,HEPG2-01_2_E17,2,783,E17,
351,HEPG2-01,HEPG2-01_2_E18,2,844,E18,
352,HEPG2-01,HEPG2-01_2_E19,2,952,E19,
353,HEPG2-01,HEPG2-01_2_E20,2,951,E20,
354,HEPG2-01,HEPG2-01_2_E21,2,694,E21,
355,HEPG2-01,HEPG2-01_2_E22,2,473,E22,
356,HEPG2-01,HEPG2-01_2_E23,2,475,E23,
357,HEPG2-01,HEPG2-01_2_F02,2,1033,F02,
358,HEPG2-01,HEPG2-01_2_F04,2,189,F04,
359,HEPG2-01,HEPG2-01_2_F05,2,414,F05,
360,HEPG2-01,HEPG2-01_2_F06,2,735,F06,
361,HEPG2-01,HEPG2-01_2_F08,2,781,F08,
362,HEPG2-01,HEPG2-01_2_F09,2,597,F09,
363,HEPG2-01,HEPG2-01_2_F10,2,826,F10,
364,HEPG2-01,HEPG2-01_2_F12,2,714,F12,
365,HEPG2-01,HEPG2-01_2_F13,2,667,F13,
366,HEPG2-01,HEPG2-01_2_F14,2,751,F14,
367,HEPG2-01,HEPG2-01_2_F16,2,1044,F16,
368,HEPG2-01,HEPG2-01_2_F17,2,706,F17,
369,HEPG2-01,HEPG2-01_2_F18,2,462,F18,
370,HEPG2-01,HEPG2-01_2_F20,2,521,F20,
371,HEPG2-01,HEPG2-01_2_F21,2,650,F21,
372,HEPG2-01,HEPG2-01_2_F23,2,871,F23,
373,HEPG2-01,HEPG2-01_2_G02,2,207,G02,
374,HEPG2-01,HEPG2-01_2_G03,2,733,G03,
375,HEPG2-01,HEPG2-01_2_G04,2,1046,G04,
376,HEPG2-01,HEPG2-01_2_G05,2,483,G05,
377,HEPG2-01,HEPG2-01_2_G06,2,466,G06,
378,HEPG2-01,HEPG2-01_2_G07,2,584,G07,
379,HEPG2-01,HEPG2-01_2_G08,2,975,G08,
380,HEPG2-01,HEPG2-01_2_G09,2,849,G09,
381,HEPG2-01,HEPG2-01_2_G10,2,299,G10,
382,HEPG2-01,HEPG2-01_2_G11,2,75,G11,
383,HEPG2-01,HEPG2-01_2_G12,2,991,G12,
384,HEPG2-01,HEPG2-01_2_G13,2,934,G13,
385,HEPG2-01,HEPG2-01_2_G14,2,920,G14,
386,HEPG2-01,HEPG2-01_2_G15,2,384,G15,
387,HEPG2-01,HEPG2-01_2_G16,2,918,G16,
388,HEPG2-01,HEPG2-01_2_G17,2,859,G17,
389,HEPG2-01,HEPG2-01_2_G18,2,72,G18,
390,HEPG2-01,HEPG2-01_2_G19,2,736,G19,
391,HEPG2-01,HEPG2-01_2_G20,2,550,G20,
392,HEPG2-01,HEPG2-01_2_G21,2,1032,G21,
393,HEPG2-01,HEPG2-01_2_G22,2,424,G22,
394,HEPG2-01,HEPG2-01_2_G23,2,1098,G23,
395,HEPG2-01,HEPG2-01_2_H02,2,236,H02,
396,HEPG2-01,HEPG2-01_2_H04,2,1078,H04,
397,HEPG2-01,HEPG2-01_2_H05,2,1077,H05,
398,HEPG2-01,HEPG2-01_2_H06,2,558,H06,
399,HEPG2-01,HEPG2-01_2_H08,2,600,H08,
400,HEPG2-01,HEPG2-01_2_H09,2,19,H09,
401,HEPG2-01,HEPG2-01_2_H10,2,801,H10,
402,HEPG2-01,HEPG2-01_2_H12,2,1043,H12,
403,HEPG2-01,HEPG2-01_2_H13,2,754,H13,
404,HEPG2-01,HEPG2-01_2_H14,2,640,H14,
405,HEPG2-01,HEPG2-01_2_H16,2,330,H16,
406,HEPG2-01,HEPG2-01_2_H17,2,804,H17,
407,HEPG2-01,HEPG2-01_2_H18,2,166,H18,
408,HEPG2-01,HEPG2-01_2_H20,2,905,H20,
409,HEPG2-01,HEPG2-01_2_H21,2,28,H21,
410,HEPG2-01,HEPG2-01_2_H23,2,729,H23,
411,HEPG2-01,HEPG2-01_2_I02,2,149,I02,
412,HEPG2-01,HEPG2-01_2_I03,2,342,I03,
413,HEPG2-01,HEPG2-01_2_I04,2,495,I04,
414,HEPG2-01,HEPG2-01_2_I05,2,601,I05,
415,HEPG2-01,HEPG2-01_2_I06,2,571,I06,
416,HEPG2-01,HEPG2-01_2_I07,2,903,I07,
417,HEPG2-01,HEPG2-01_2_I08,2,218,I08,
418,HEPG2-01,HEPG2-01_2_I09,2,351,I09,
419,HEPG2-01,HEPG2-01_2_I10,2,856,I10,
420,HEPG2-01,HEPG2-01_2_I11,2,404,I11,
421,HEPG2-01,HEPG2-01_2_I12,2,81,I12,
422,HEPG2-01,HEPG2-01_2_I13,2,1064,I13,
423,HEPG2-01,HEPG2-01_2_I14,2,284,I14,
424,HEPG2-01,HEPG2-01_2_I15,2,639,I15,
425,HEPG2-01,HEPG2-01_2_I16,2,766,I16,
426,HEPG2-01,HEPG2-01_2_I17,2,529,I17,
427,HEPG2-01,HEPG2-01_2_I18,2,111,I18,
428,HEPG2-01,HEPG2-01_2_I19,2,723,I19,
429,HEPG2-01,HEPG2-01_2_I20,2,165,I20,
430,HEPG2-01,HEPG2-01_2_I21,2,492,I21,
431,HEPG2-01,HEPG2-01_2_I22,2,896,I22,
432,HEPG2-01,HEPG2-01_2_I23,2,927,I23,
433,HEPG2-01,HEPG2-01_2_J02,2,623,J02,
434,HEPG2-01,HEPG2-01_2_J04,2,169,J04,
435,HEPG2-01,HEPG2-01_2_J05,2,1070,J05,
436,HEPG2-01,HEPG2-01_2_J06,2,851,J06,
437,HEPG2-01,HEPG2-01_2_J08,2,1017,J08,
438,HEPG2-01,HEPG2-01_2_J09,2,651,J09,
439,HEPG2-01,HEPG2-01_2_J10,2,66,J10,
440,HEPG2-01,HEPG2-01_2_J12,2,857,J12,
441,HEPG2-01,HEPG2-01_2_J13,2,909,J13,
442,HEPG2-01,HEPG2-01_2_J14,2,789,J14,
443,HEPG2-01,HEPG2-01_2_J16,2,730,J16,
444,HEPG2-01,HEPG2-01_2_J17,2,381,J17,
445,HEPG2-01,HEPG2-01_2_J18,2,160,J18,
446,HEPG2-01,HEPG2-01_2_J20,2,932,J20,
447,HEPG2-01,HEPG2-01_2_J21,2,467,J21,
